Date,Cashflow
03/01/2022,0.00
04/01/2022,0.00
05/01/2022,0.00
06/01/2022,0.00
07/01/2022,0.00
10/01/2022,0.00
11/01/2022,0.00
12/01/2022,0.00
13/01/2022,0.00
14/01/2022,0.00
17/01/2022,0.00
18/01/2022,0.00
19/01/2022,0.00
20/01/2022,0.00
21/01/2022,0.00
24/01/2022,0.00
25/01/2022,0.00
27/01/2022,0.00
28/01/2022,0.00
31/01/2022,0.00
01/02/2022,0.00
02/02/2022,0.00
03/02/2022,0.00
04/02/2022,0.00
07/02/2022,0.00
08/02/2022,0.00
09/02/2022,0.00
10/02/2022,0.00
11/02/2022,0.00
14/02/2022,0.00
15/02/2022,0.00
16/02/2022,0.00
17/02/2022,0.00
18/02/2022,0.00
21/02/2022,0.00
22/02/2022,0.00
23/02/2022,0.00
24/02/2022,0.00
25/02/2022,0.00
28/02/2022,0.00
02/03/2022,0.00
03/03/2022,0.00
04/03/2022,0.00
07/03/2022,0.00
08/03/2022,440.30
09/03/2022,440.30
10/03/2022,440.30
11/03/2022,440.30
14/03/2022,440.30
15/03/2022,-45.55
16/03/2022,-538.30
17/03/2022,-1040.20
21/03/2022,-1040.20
22/03/2022,-1040.20
23/03/2022,-1040.20
24/03/2022,-1040.20
25/03/2022,-1040.20
28/03/2022,-1040.20
29/03/2022,-1040.20
30/03/2022,-1040.20
31/03/2022,-1040.20
01/04/2022,-1040.20
04/04/2022,-1040.20
05/04/2022,-1040.20
06/04/2022,-1040.20
07/04/2022,-1040.20
08/04/2022,-1040.20
11/04/2022,-1040.20
12/04/2022,-1040.20
13/04/2022,-1040.20
18/04/2022,-1040.20
19/04/2022,-1040.20
20/04/2022,-1040.20
21/04/2022,-1040.20
22/04/2022,-1040.20
25/04/2022,-1040.20
26/04/2022,-1040.20
27/04/2022,-1040.20
28/04/2022,-1040.20
29/04/2022,-1040.20
02/05/2022,-1040.20
04/05/2022,-1040.20
05/05/2022,-1040.20
06/05/2022,-1040.20
09/05/2022,-1040.20
10/05/2022,-1040.20
11/05/2022,-1040.20
12/05/2022,-1040.20
13/05/2022,-1040.20
16/05/2022,-1040.20
17/05/2022,-1040.20
18/05/2022,-1040.20
19/05/2022,-1040.20
20/05/2022,-1040.20
23/05/2022,-1040.20
24/05/2022,-1040.20
25/05/2022,-1040.20
26/05/2022,-1040.20
27/05/2022,-1040.20
30/05/2022,-1040.20
31/05/2022,-1040.20
01/06/2022,-1040.20
02/06/2022,-1040.20
03/06/2022,-1040.20
06/06/2022,-1040.20
07/06/2022,-1040.20
08/06/2022,-1040.20
09/06/2022,-1040.20
10/06/2022,-1040.20
13/06/2022,-1040.20
14/06/2022,-1040.20
15/06/2022,-1040.20
16/06/2022,-1040.20
17/06/2022,-1040.20
20/06/2022,-1040.20
21/06/2022,-1040.20
22/06/2022,-1040.20
23/06/2022,-1040.20
24/06/2022,-1040.20
27/06/2022,-1040.20
28/06/2022,-1040.20
29/06/2022,-1040.20
30/06/2022,-1040.20
01/07/2022,-1040.20
04/07/2022,-1040.20
05/07/2022,-1040.20
06/07/2022,-1040.20
07/07/2022,-1040.20
08/07/2022,-1040.20
11/07/2022,-1040.20
12/07/2022,-1040.20
13/07/2022,-1040.20
14/07/2022,-1040.20
15/07/2022,-1040.20
18/07/2022,-1040.20
19/07/2022,-1040.20
20/07/2022,-1040.20
21/07/2022,-1040.20
22/07/2022,-1040.20
25/07/2022,-1040.20
26/07/2022,-1040.20
27/07/2022,-1040.20
28/07/2022,-1040.20
29/07/2022,-1040.20
01/08/2022,-1040.20
02/08/2022,-1040.20
03/08/2022,-1040.20
04/08/2022,-1040.20
05/08/2022,-1040.20
08/08/2022,-1040.20
10/08/2022,-525.50
11/08/2022,-525.50
12/08/2022,-525.50
16/08/2022,-525.50
17/08/2022,-525.50
18/08/2022,-525.50
19/08/2022,-525.50
22/08/2022,-525.50
23/08/2022,-525.50
24/08/2022,-525.50
25/08/2022,-525.50
26/08/2022,-525.50
29/08/2022,-525.50
30/08/2022,-525.50
01/09/2022,-525.50
02/09/2022,-525.50
05/09/2022,-525.50
06/09/2022,-525.50
07/09/2022,-525.50
08/09/2022,-525.50
09/09/2022,-525.50
12/09/2022,-525.50
13/09/2022,-525.50
14/09/2022,-1097.25
15/09/2022,-1097.25
16/09/2022,-1097.25
19/09/2022,-1097.25
20/09/2022,-1097.25
21/09/2022,-1097.25
22/09/2022,-1097.25
23/09/2022,-1097.25
26/09/2022,-1097.25
27/09/2022,-560.75
28/09/2022,-35.90
29/09/2022,485.85
30/09/2022,485.85
03/10/2022,485.85
04/10/2022,485.85
06/10/2022,485.85
07/10/2022,485.85
10/10/2022,485.85
11/10/2022,485.85
12/10/2022,485.85
13/10/2022,485.85
14/10/2022,485.85
17/10/2022,485.85
18/10/2022,485.85
19/10/2022,485.85
20/10/2022,485.85
21/10/2022,485.85
24/10/2022,485.85
25/10/2022,485.85
27/10/2022,-93.80
28/10/2022,-93.80
31/10/2022,-93.80
01/11/2022,-93.80
02/11/2022,-93.80
03/11/2022,-93.80
04/11/2022,-93.80
07/11/2022,-93.80
09/11/2022,-93.80
10/11/2022,-93.80
11/11/2022,-93.80
14/11/2022,-93.80
15/11/2022,-93.80
16/11/2022,-93.80
17/11/2022,-93.80
18/11/2022,-93.80
21/11/2022,-93.80
22/11/2022,-93.80
23/11/2022,-93.80
24/11/2022,-93.80
25/11/2022,-93.80
28/11/2022,-93.80
29/11/2022,-93.80
30/11/2022,-93.80
01/12/2022,-93.80
02/12/2022,-93.80
05/12/2022,-93.80
06/12/2022,-93.80
07/12/2022,-93.80
08/12/2022,-93.80
09/12/2022,-93.80
12/12/2022,-93.80
13/12/2022,-93.80
14/12/2022,-93.80
15/12/2022,-93.80
16/12/2022,-93.80
19/12/2022,-93.80
20/12/2022,-93.80
21/12/2022,-93.80
22/12/2022,-93.80
23/12/2022,-93.80
26/12/2022,-93.80
27/12/2022,-93.80
28/12/2022,-93.80
29/12/2022,-93.80
30/12/2022,-93.80
02/01/2023,-93.80
